# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0015467 -1.00000 9.00000 0.9499999285 2.4618121728    0.949  0.121  3.8189  4.522    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.32e-14      0.00 7.624e-01 2.360e-01 2.749e-04 7.514e-05 6.832e-04 -1.000 1.551e-03 4.468 4.920 4.777 4.552 4.410 4.289 4.031 4.005
0.0015467 -1.00000 9.00000 0.9573147893 2.4635199902    0.957  0.137  3.8208  4.517    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-14      0.00 7.625e-01 2.360e-01 2.748e-04 7.513e-05 6.830e-04 -1.000 1.549e-03 4.428 4.872 4.732 4.510 4.370 4.250 3.995 3.970
0.0015467 -1.00000 9.00000 1.0000000000 2.4729154477    1.000  0.231  3.8320  4.487    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.625e-01 2.359e-01 2.747e-04 7.511e-05 6.828e-04 -1.000 1.542e-03 4.193 4.600 4.472 4.266 4.137 4.025 3.787 3.765
0.0015467 -1.00000 9.00000 1.0203728676 2.4770823587    1.020  0.274  3.8376  4.475    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.625e-01 2.359e-01 2.748e-04 7.512e-05 6.829e-04 -1.000 1.555e-03 4.085 4.473 4.350 4.153 4.029 3.922 3.693 3.673
0.0015467 -1.00000 9.00000 1.0499999523 2.4828114860    1.049  0.336  3.8456  4.457    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.624e-01 2.361e-01 2.750e-04 7.517e-05 6.834e-04 -1.000 1.552e-03 3.930 4.292 4.177 3.991 3.875 3.773 3.558 3.540
0.0015467 -1.00000 9.00000 1.0724838972 2.4869172196    1.072  0.381  3.8523  4.448    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.626e-01 2.358e-01 2.747e-04 7.510e-05 6.828e-04 -1.000 1.536e-03 3.817 4.157 4.048 3.871 3.762 3.666 3.462 3.445
0.0015467 -1.00000 9.00000 1.1000000238 2.4916801480    1.099  0.436  3.8605  4.437    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-13      0.00 7.628e-01 2.357e-01 2.744e-04 7.504e-05 6.822e-04 -1.000 1.532e-03 3.680 3.995 3.893 3.727 3.626 3.536 3.346 3.332
0.0015467 -1.00000 9.00000 1.1096333265 2.4932835701    1.109  0.455  3.8638  4.436    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-13      0.00 7.629e-01 2.355e-01 2.744e-04 7.502e-05 6.821e-04 -1.000 1.536e-03 3.634 3.939 3.839 3.678 3.580 3.493 3.309 3.295
0.0015467 -1.00000 9.00000 1.1499999762 2.4996678137    1.149  0.531  3.8776  4.430    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-13      0.00 7.633e-01 2.351e-01 2.742e-04 7.498e-05 6.817e-04 -1.000 1.563e-03 3.442 3.708 3.619 3.476 3.392 3.315 3.156 3.145
0.0015467 -1.00000 9.00000 1.2000000477 2.5068948796    1.199  0.622  3.8960  4.431    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-13      0.00 7.638e-01 2.347e-01 2.738e-04 7.485e-05 6.806e-04 -1.000 1.545e-03 3.215 3.432 3.357 3.238 3.172 3.111 2.984 2.978
0.0015467 -1.00000 9.00000 1.2427638769 2.5125483648    1.242  0.697  3.9115  4.433    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-13      0.00 7.641e-01 2.343e-01 2.734e-04 7.477e-05 6.798e-04 -1.000 1.565e-03 3.027 3.209 3.145 3.048 2.997 2.948 2.849 2.846
0.0015467 -1.00000 9.00000 1.2500000000 2.5134610955    1.250  0.710  3.9141  4.433    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-13      0.00 7.642e-01 2.343e-01 2.734e-04 7.476e-05 6.797e-04 -1.000 1.566e-03 2.995 3.172 3.110 3.017 2.968 2.921 2.827 2.824
0.0015467 -1.00000 9.00000 1.2999999523 2.5194498592    1.300  0.796  3.9311  4.433    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-13      0.00 7.646e-01 2.338e-01 2.730e-04 7.465e-05 6.788e-04 -1.000 1.565e-03 2.781 2.933 2.884 2.816 2.783 2.750 2.683 2.683
0.0015467 -1.00000 9.00000 1.3242278099 2.5221654045    1.324  0.836  3.9389  4.431    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-13      0.00 7.649e-01 2.336e-01 2.728e-04 7.459e-05 6.782e-04 -1.000 1.558e-03 2.679 2.827 2.786 2.729 2.702 2.674 2.618 2.619
0.0015467 -1.00000 9.00000 1.3500000238 2.5249313598    1.350  0.879  3.9469  4.429    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-13      0.00 7.651e-01 2.334e-01 2.726e-04 7.453e-05 6.777e-04 -1.000 1.558e-03 2.571 2.722 2.686 2.640 2.618 2.596 2.550 2.552
0.0015467 -1.00000 9.00000 1.3626365662 2.5262436750    1.363  0.900  3.9506  4.426    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-13      0.00 7.652e-01 2.333e-01 2.725e-04 7.451e-05 6.775e-04 -1.000 1.549e-03 2.519 2.671 2.639 2.596 2.577 2.557 2.516 2.519
0.0015467 -1.00000 9.00000 1.3947491646 2.5294558884    1.395  0.953  3.9594  4.419    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-13      0.00 7.654e-01 2.331e-01 2.723e-04 7.446e-05 6.771e-04 -1.000 1.521e-03 2.387 2.549 2.522 2.489 2.475 2.461 2.430 2.433
0.0015467 -1.00000 9.00000 1.3999999762 2.5299650300    1.400  0.962  3.9608  4.418    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-13      0.00 7.654e-01 2.330e-01 2.723e-04 7.445e-05 6.770e-04 -1.000 1.520e-03 2.366 2.529 2.504 2.472 2.459 2.445 2.416 2.419
0.0015467 -1.00000 9.00000 1.4188114405 2.5317535506    1.419  0.992  3.9656  4.412    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-13      0.00 7.656e-01 2.329e-01 2.722e-04 7.443e-05 6.768e-04 -1.000 1.525e-03 2.290 2.461 2.439 2.412 2.401 2.389 2.365 2.369
0.0015467 -1.00000 9.00000 1.4439555407 2.5340606665    1.444  1.032  3.9717  4.404    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-13      0.00 7.657e-01 2.328e-01 2.721e-04 7.440e-05 6.765e-04 -1.000 1.528e-03 2.189 2.371 2.353 2.331 2.323 2.314 2.296 2.301
0.0015467 -1.00000 9.00000 1.4500000477 2.5346015836    1.450  1.042  3.9731  4.402    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-13      0.00 7.657e-01 2.328e-01 2.720e-04 7.440e-05 6.765e-04 -1.000 1.521e-03 2.165 2.349 2.332 2.312 2.304 2.296 2.279 2.284
0.0015467 -1.00000 9.00000 1.4688534737 2.5362559192    1.469  1.072  3.9773  4.394    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-13      0.00 7.658e-01 2.327e-01 2.720e-04 7.438e-05 6.764e-04 -1.000 1.516e-03 2.089 2.282 2.268 2.251 2.245 2.239 2.226 2.230
0.0015467 -1.00000 9.00000 1.5000000000 2.5388844597    1.500  1.123  3.9837  4.378    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-13      0.00 7.659e-01 2.325e-01 2.719e-04 7.436e-05 6.762e-04 -1.000 1.545e-03 1.963 2.171 2.161 2.149 2.146 2.142 2.135 2.140
0.0015467 -1.00000 9.00000 1.5228654146 2.5407356282    1.523  1.159  3.9879  4.365    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-13      0.00 7.660e-01 2.325e-01 2.718e-04 7.439e-05 6.759e-04 -1.000 1.548e-03 1.871 2.090 2.083 2.075 2.073 2.071 2.067 2.072
0.0015467 -1.00000 9.00000 1.5499999523 2.5428511323    1.550  1.203  3.9924  4.347    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-13      0.00 7.661e-01 2.324e-01 2.718e-04 7.446e-05 6.754e-04 -1.000 1.506e-03 1.763 1.993 1.990 1.985 1.985 1.984 1.984 1.989
0.0015467 -1.00000 9.00000 1.5637791157 2.5438931388    1.563  1.225  3.9945  4.337    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-13      0.00 7.661e-01 2.324e-01 2.717e-04 7.444e-05 6.753e-04 -1.000 1.503e-03 1.708 1.944 1.942 1.939 1.940 1.940 1.941 1.946
0.0015467 -1.00000 9.00000 1.5881648064 2.5456863695    1.588  1.264  3.9973  4.316    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.661e-01 2.323e-01 2.717e-04 7.439e-05 6.753e-04 -1.000 1.554e-03 1.610 1.854 1.854 1.853 1.855 1.856 1.859 1.864
0.0015467 -1.00000 9.00000 1.6000000238 2.5465340628    1.600  1.283  3.9983  4.304    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 7.661e-01 2.323e-01 2.717e-04 7.439e-05 6.754e-04 -1.000 1.554e-03 1.562 1.808 1.810 1.809 1.811 1.812 1.816 1.822
0.0015467 -1.00000 9.00000 1.6174526215 2.5477581067    1.617  1.311  3.9995  4.285    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-19      0.00 7.662e-01 2.323e-01 2.718e-04 7.440e-05 6.754e-04 -1.000 1.536e-03 1.491 1.741 1.743 1.744 1.746 1.748 1.753 1.759
0.0015467 -1.00000 9.00000 1.6430258751 2.5494977949    1.642  1.353  4.0004  4.254    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-28      0.00 7.661e-01 2.323e-01 2.718e-04 7.445e-05 6.753e-04 -1.000 1.556e-03 1.388 1.638 1.642 1.645 1.647 1.649 1.655 1.660
0.0015467 -1.00000 9.00000 1.6499998569 2.5499614695    1.649  1.364  4.0003  4.244    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.661e-01 2.323e-01 2.718e-04 7.447e-05 6.753e-04 -1.000 1.556e-03 1.359 1.609 1.613 1.616 1.618 1.621 1.626 1.631
0.0015467 -1.00000 9.00000 1.6531528234 2.5501696225    1.653  1.370  4.0003  4.240    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.661e-01 2.323e-01 2.718e-04 7.452e-05 6.751e-04 -1.000 1.558e-03 1.346 1.596 1.600 1.603 1.605 1.608 1.613 1.619
0.0015467 -1.00000 9.00000 1.6784234047 2.5518055013    1.678  1.411  3.9990  4.199    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.663e-01 2.321e-01 2.719e-04 7.494e-05 6.744e-04 -1.000 1.541e-03 1.241 1.485 1.490 1.492 1.494 1.497 1.502 1.506
0.0015467 -1.00000 9.00000 1.7000000477 2.5531580802    1.699  1.448  3.9964  4.158    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.665e-01 2.320e-01 2.719e-04 7.530e-05 6.738e-04 -1.000 1.519e-03 1.150 1.383 1.387 1.389 1.391 1.393 1.397 1.401
0.0015467 -1.00000 9.00000 1.7110366821 2.5538347900    1.710  1.466  3.9950  4.137    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.664e-01 2.321e-01 2.720e-04 7.514e-05 6.742e-04 -1.000 1.505e-03 1.104 1.331 1.335 1.337 1.338 1.340 1.343 1.347
